id,author,quote
83,Charles Peters,"Bureaucrats write memoranda both because they appear to be busy when they are writing and because the memos, once written, immediately become proof that they were busy."
84,Charles Wadsworth,"By the time a man realizes that maybe his father was right, he usually has a son who thinks he's wrong."
85,Chuck Close,Inspiration is for amateurs. I just get to work.
86,Chuck Reid,"In theory, there is no difference between theory and practice; In practice, there is."
87,Clarence Darrow,When I was a boy I was told that anybody could become President. Now I'm beginning to believe it.
88,Cyril Connolly,here are many who dare not kill themselves for fear of what the neighbors will say.
89,Dale Carnegie,Success is getting what you want. Happiness is wanting what you get.
90,Dame Edna Everage,"Never be afraid to laugh at yourself, after all, you could be missing out on the joke of the century."
91,Dandemis,Do not condemn the judgement of another because it differs from your own. You may both be wrong.
92,Daniel Boorstin,The greatest obstacle to discovery is not ignorance - it is the illusion of knowledge.
93,David Allen,"You can do anything, but not everything."
94,David Brin,"It is said that power corrupts, but actually it's more true that power attracts the corruptible. The sane are usually attracted by other things than power."
95,David Cobitz,A committee can make a decision that is dumber than any of its members.
96,David Freeman,"The more you know, the more you realise how much you don't know -- the less you know, the more you think you know."
97,David Freeman,"The direct use of force is such a poor solution to any problem, it is generally employed only by small children and large nations."
98,David Lloyd George,Don't be afraid to take a big step if one is indicated. You can't cross a chasm in two small jumps.
99,David Richerby,The tooth fairy teaches children that they can sell body parts for money.
100,Dee Hock,"Simple, clear purpose and principles give rise to complex and intelligent behavior. Complex rules and regulations give rise to simple and stupid behavior."
101,Dennis Waitley,The first step toward success will be the biggest one.
102,Dick Cavett,There's so much comedy on television. Does that cause comedy in the streets?
103,Dick Cavett,"If your parents never had children, chances are you won't, either."
104,Dick Cavett,It's a rare person who wants to hear what he doesn't want to hear.
105,Doug Horton,The art of simplicity is a puzzle of complexity.
106,Dwight Eisenhower,"In preparing for battle I have always found that plans are useless, but planning is indispensable."
107,Edith Sitwell,I am patient with stupidity but not with those who are proud of it.
108,Edith Wharton,If only we'd stop trying to be happy we could have a pretty good time.
109,Edward Bulwer-Lytton,Talent does what it can; genius does what it must.
110,Edward Murrow,Just because your voice reaches halfway around the world doesn't mean you are wiser than when it reached only to the end of the bar.
111,Edward Phelps,The man who makes no mistakes does not usually make anything.
112,Edwin Schlossberg,The skill of writing is to create a context in which other people can think.
113,Emerson Pugh,"If the human mind was simple enough to understand, we'd be too simple to understand it."
114,Emma Goldman,"If voting changed anything, they'd make it illegal."
115,Epitectus,There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will.
116,Eric Hoffer,You can discover what your enemy fears most by observing the means he uses to frighten you.
117,Eric Hoffer,"When people are free to do as they please, they usually imitate each other."
118,Eric Hoffer,The opposite of the religious fanatic is not the fanatical atheist but the gentle cynic who cares not whether there is a god or not.
119,Erica Jong,Advice is what we ask for when we already know the answer but wish we didn't.
120,Ernest Hemingway,Courage is grace under pressure.
121,Eugene McCarthy,"Being in politics is like being a football coach. You have to be smart enough to understand the game, and dumb enough to think it's important."
122,Evan Esar,Character is what you have left when you've lost everything you can lose.
123,Francois de la Rochefoucauld,We confess our little faults to persuade people that we have no large ones.
124,Francois de la Rochefoucauld,"Crimes are made innocent, even virtuous, by their number and nature"
125,Frank Tibolt,We should be taught not to wait for inspiration to start a thing. Action always generates inspiration. Inspiration seldom generates action.
126,Frank Zappa,Writing about music is like dancing about architecture.
127,Franklin P. Jones,The trouble with being punctual is that nobody's there to appreciate it.
128,Franklin P. Jones,Experience is that marvelous thing that enables you to recognize a mistake when you make it again.
129,Friedrich Nietzche,"Insanity in individuals is something rare - but in groups, parties, nations and epochs, it is the rule."
130,Friedrich Nietzche,The man of knowledge must be able not only to love his enemies but also to hate his friends.
131,Friedrich Nietzche,The surest way to corrupt a youth is to instruct him to hold in higher esteem those who think alike than those who think differently.
132,Friedrich Nietzche,"There are no facts, only interpretations."
133,Friedrich Nietzche,"I tell you: one must have chaos within oneself, to give birth to a dancing star."
134,Friedrich Nietzche,The last Christian died on the cross. (paraphrase)
135,Friedrich Nietzche,"What does not destroy me, makes me stronger."
136,Friedrich Nietzche,"But thus do I counsel you, my friends: distrust all in whom the impulse to punish is powerful!"
137,Friedrich Nietzche,"Thoughts are the shadows of our feelings ??always darker, emptier, simpler."
138,Friedrich Nietzche,"We are, all of us, growing volcanoes that approach the hour of their eruption; but how near or distant that is, nobody knows ??not even God."
139,G. M. Trevelyan,Education... has produced a vast population able to read but unable to distinguish what is worth reading.
140,Galileo Galilei,"I do not feel obliged to believe that the same God who has endowed us with sense, reason, and intellect has intended us to forgo their use."
141,Galileo Galilei,I have never met a man so ignorant that I couldn't learn something from him.
142,Georg Christoph Lichtenberg,Everyone is a genius at least once a year. The real geniuses simply have their bright ideas closer together.
143,George Bernard Shaw,My way of joking is to tell the truth. It is the funniest joke in the world.
144,George Bernard Shaw,The fact that a believer is happier than a skeptic is no more to the point than the fact that a drunken man is happier than a sober one.
145,George Bernard Shaw,Patriotism is your conviction that this country is superior to all other countries because you were born in it.
146,George Bernard Shaw,All great truths start as blasphemies
147,George Orwell,All animals are equal but some animals are more equal than others.
148,George Satayana,Those who cannot remember the past are condemned to repeat it.
149,George Sheehan,"To keep from decaying, to be a winner, the athlete must accept pain - not only accept it, but look for it, live with it, learn not to fear it."
150,George Wald,A physicist is an atom's way of knowing about atoms.
151,Georges Duhamel,I have too much respect for the idea of God to make it responsible for such an absurd world.
152,Groucho Marx,A child of five would understand this. Send someone to fetch a child of five.
153,Gustave Flaubert,There is no truth. There is only perception.
154,H.L. Mencken,All men are frauds. The only difference between them is that some admit it. I myself deny it.
155,Harold Stephens,"There is a great difference between worry and concern. A worried person sees a problem, and a concerned person solves a problem."
156,Henri Bergson,"Think like a man of action, act like a man of thought."
157,Henri Poincare,"Science is facts; just as houses are made of stones, so is science made of facts; but a pile of stones is not a house and a collection of facts is not necessarily science."
158,Henrik Tikkanen,Truly great madness cannot be achieved without significant intelligence.
159,Henry David Thoreau,"Every generation laughs at the old fashions, but follows religiously the new."
160,Henry David Thoreau,A man is rich in proportion to the number of things he can afford to let alone.
161,Henry David Thoreau,Men are probably nearer the central truth in their superstitions than in their science.
162,Henry Ford,Whether you think you can or think you can't -- you are right.
163,Hermann Hesse,"If you hate a person, you hate something in him that is part of yourself. What isn't part of ourselves doesn't disturb us."
164,Horace Mann,Be ashamed to die until you have won some victory for humanity.
165,Horace Walpole,The whole secret of life is to be interested in one thing profoundly and in a thousand things well.
